kanji,kana,hirakana
相変わらず,あいかわらず,あいかわらず
アイデア,アイデア,あいであ
曖昧,あいまい,あいまい
会う,あう,あう
扇ぐ,あおぐ,あおぐ
青白い,あおじろい,あおじろい
赤ん坊,あかんぼう,あかんぼう
空き,あき,あき
呆れる,あきれる,あきれる
アクセント,アクセント,あくせんと
欠伸,あくび,あくび
飽くまで,あくまで,あくまで
明け方,あけがた,あけがた
上げる,あげる,あげる
憧れる,あこがれる,あこがれる
足跡,あしあと,あしあと
味わう,あじわう,あじわう
預かる,あずかる,あずかる
温める,あたためる,あたためる
当たり前,あたりまえ,あたりまえ
彼方此方,あちこち,あちこち
厚かましい,あつかましい,あつかましい
圧縮,あっしゅく,あっしゅく
宛名,あてな,あてな
当てはまる,あてはまる,あてはまる
当てはめる,あてはめる,あてはめる
暴れる,あばれる,あばれる
脂,あぶら,あぶら
炙る,あぶる,あぶる
溢れる,あふれる,あふれる
雨戸,あまど,あまど
甘やかす,あまやかす,あまやかす
余る,あまる,あまる
編み物,あみもの,あみもの
編む,あむ,あむ
危うい,あやうい,あやうい
怪しい,あやしい,あやしい
粗い,あらい,あらい
荒い,あらい,あらい
粗筋,あらすじ,あらすじ
争う,あらそう,あらそう
改めて,あらためて,あらためて
改める,あらためる,あらためる
著す,あらわす,あらわす
有難い,ありがたい,ありがたい
有る,ある,ある
彼此,あれこれ,あれこれ
慌ただしい,あわただしい,あわただしい
慌てる,あわてる,あわてる
安易,あんい,あんい
案外,あんがい,あんがい
アンテナ,アンテナ,あんてな
言い出す,いいだす,いいだす
言いつける,いいつける,いいつける
生き生き,いきいき,いきいき
行き成り,いきなり,いきなり
育児,いくじ,いくじ
幾分,いくぶん,いくぶん
生け花,いけばな,いけばな
以後,いご,いご
イコール,イコール,いこーる
以降,いこう,いこう
衣食住,いしょくじゅう,いしょくじゅう
意地悪,いじわる,いじわる
一々,いちいち,いちいち
一応,いちおう,いちおう
一段,いちだん,いちだん
一流,いちりゅう,いちりゅう
佚,いつ,いつ
一昨昨日,いっさくさくじつ,いっさくさくじつ
一昨年,いっさくねん,いっさくねん
一斉,いっせい,いっせい
一旦,いったん,いったん
一定,いってい,いってい
行ってまいります,いってまいります,いってまいります
行ってらっしゃい,いってらっしゃい,いってらっしゃい
いつの間にか,いつのまにか,いつのまにか
移転,いてん,いてん
井戸,いど,いど
緯度,いど,いど
従姉妹,いとこ,いとこ
威張る,いばる,いばる
嫌がる,いやがる,いやがる
愈,いよいよ,いよいよ
煎る,いる,いる
入れ物,いれもの,いれもの
インク,インク,いんく
インタビュー,インタビュー,いんたびゅー
引力,いんりょく,いんりょく
ウーマン,ウーマン,うーまん
ウール,ウール,うーる
ウェイトレス,ウェイトレス,うぇいとれす
植木,うえき,うえき
飢える,うえる,うえる
浮かぶ,うかぶ,うかぶ
浮かべる,うかべる,うかべる
浮く,うく,うく
承る,うけたまわる,うけたまわる
受取り,うけとり,うけとり
受け持つ,うけもつ,うけもつ
薄暗い,うすぐらい,うすぐらい
薄める,うすめる,うすめる
打ち合わせ,うちあわせ,うちあわせ
打ち消す,うちけす,うちけす
撃つ,うつ,うつ
うっかり,うっかり,うっかり
映す,うつす,うつす
写る,うつる,うつる
映る,うつる,うつる
饂飩,うどん,うどん
埋める,うめる,うめる
敬う,うやまう,うやまう
裏返す,うらがえす,うらがえす
裏口,うらぐち,うらぐち
