kanji,kana,hirakana
さっぱり,さっぱり,さっぱり
偖,さて,さて
砂漠,さばく,さばく
差別,さべつ,さべつ
作法,さほう,さほう
様々,さまざま,さまざま
覚ます,さます,さます
覚める,さめる,さめる
左右,さゆう,さゆう
皿,さら,さら
更に,さらに,さらに
去る,さる,さる
猿,さる,さる
騒ぎ,さわぎ,さわぎ
参加,さんか,さんか
参考,さんこう,さんこう
賛成,さんせい,さんせい
酸素,さんそ,さんそ
散歩,さんぽ,さんぽ
四,し,し
氏,し,し
詩,し,し
ジーンズ,ジーンズ,じーんず
幸せ,しあわせ,しあわせ
ジェット機,ジェットき,じぇっとき
直に,じかに,じかに
然も,しかも,しかも
叱る,しかる,しかる
式,しき,しき
時期,じき,じき
支給,しきゅう,しきゅう
頻りに,しきりに,しきりに
刺激,しげき,しげき
資源,しげん,しげん
事件,じけん,じけん
時刻,じこく,じこく
事実,じじつ,じじつ
支出,ししゅつ,ししゅつ
事情,じじょう,じじょう
詩人,しじん,しじん
自身,じしん,じしん
沈む,しずむ,しずむ
自然,しぜん,しぜん
思想,しそう,しそう
舌,した,した
次第,しだい,しだい
事態,じたい,じたい
従う,したがう,したがう
従って,したがって,したがって
支度,したく,したく
親しい,したしい,したしい
七,しち,しち
質,しつ,しつ
失業,しつぎょう,しつぎょう
実験,じっけん,じっけん
実現,じつげん,じつげん
実行,じっこう,じっこう
実際,じっさい,じっさい
実施,じっし,じっし
凝乎と,じっと,じっと
実は,じつは,じつは
失望,しつぼう,しつぼう
支店,してん,してん
指導,しどう,しどう
自動,じどう,じどう
品,しな,しな
支配,しはい,しはい
芝居,しばい,しばい
屡々,しばしば,しばしば
芝生,しばふ,しばふ
支払い,しはらい,しはらい
支払う,しはらう,しはらう
死亡,しぼう,しぼう
資本,しほん,しほん
姉妹,しまい,しまい
仕舞う,しまう,しまう
仕舞った,しまった,しまった
自慢,じまん,じまん
事務,じむ,じむ
示す,しめす,しめす
占める,しめる,しめる
下,しも,しも
霜,しも,しも
借金,しゃっきん,しゃっきん
喋る,しゃべる,しゃべる
邪魔,じゃま,じゃま
ジュース,ジュース,じゅーす
州,しゅう,しゅう
週,しゅう,しゅう
十,じゅう,じゅう
