kanji,kana,hirakana
ああ,ああ,ああ
間,あいだ,あいだ
合う,あう,あう
赤ちゃん,あかちゃん,あかちゃん
上がる,あがる,あがる
赤ん坊,あかんぼう,あかんぼう
開く,あく,あく
アクセサリー,アクセサリー,あくせさりー
上げる,あげる,あげる
浅い,あさい,あさい
味,あじ,あじ
アジア,アジア,あじあ
明日,あした,あした
遊び,あそび,あそび
あっ,あっ,あっ
集まる,あつまる,あつまる
集める,あつめる,あつめる
アナウンサー,アナウンサー,あなうんさー
阿弗利加,アフリカ,あふりか
亜米利加,アメリカ,あめりか
謝る,あやまる,あやまる
アルコール,アルコール,あるこーる
アルバイト,アルバイト,あるばいと
安心,あんしん,あんしん
安全,あんぜん,あんぜん
あんな,あんな,あんな
以下,いか,いか
以外,いがい,いがい
医学,いがく,いがく
生きる,いきる,いきる
意見,いけん,いけん
石,いし,いし
苛める,いじめる,いじめる
以上,いじょう,いじょう
急ぐ,いそぐ,いそぐ
致す,いたす,いたす
一度,いちど,いちど
一生懸命,いっしょうけんめい,いっしょうけんめい
一杯,いっぱい,いっぱい
糸,いと,いと
以内,いない,いない
田舎,いなか,いなか
祈る,いのる,いのる
いらっしゃる,いらっしゃる,いらっしゃる
植える,うえる,うえる
受付,うけつけ,うけつけ
受ける,うける,うける
動く,うごく,うごく
内,うち,うち
打つ,うつ,うつ
美しい,うつくしい,うつくしい
写す,うつす,うつす
移る,うつる,うつる
腕,うで,うで
裏,うら,うら
売り場,うりば,うりば
うん,うん,うん
運転手,うんてんしゅ,うんてんしゅ
エスカレーター,エスカレーター,えすかれーたー
枝,えだ,えだ
選ぶ,えらぶ,えらぶ
遠慮,えんりょ,えんりょ
オートバイ,オートバイ,おーとばい
お出でになる,おいでになる,おいでになる
お祝い,おいわい,おいわい
お蔭,おかげ,おかげ
可笑しい,おかしい,おかしい
億,おく,おく
屋上,おくじょう,おくじょう
送る,おくる,おくる
遅れる,おくれる,おくれる
起こす,おこす,おこす
行う,おこなう,おこなう
怒る,おこる,おこる
押し入れ,おしいれ,おしいれ
お嬢さん,おじょうさん,おじょうさん
お宅,おたく,おたく
落ちる,おちる,おちる
仰る,おっしゃる,おっしゃる
夫,おっと,おっと
お釣り,おつり,おつり
音,おと,おと
落とす,おとす,おとす
踊り,おどり,おどり
踊る,おどる,おどる
驚く,おどろく,おどろく
お祭り,おまつり,おまつり
お見舞い,おみまい,おみまい
お土産,おみやげ,おみやげ
思い出す,おもいだす,おもいだす
思う,おもう,おもう
玩具,おもちゃ,おもちゃ
表,おもて,おもて
親,おや,おや
泳ぎ方,およぎかた,およぎかた
降りる,おりる,おりる
折る,おる,おる
お礼,おれい,おれい
折れる,おれる,おれる
終わり,おわり,おわり
カーテン,カーテン,かーてん
海岸,かいがん,かいがん
会議,かいぎ,かいぎ
会議室,かいぎしつ,かいぎしつ
会場,かいじょう,かいじょう
会話,かいわ,かいわ
帰り,かえり,かえり
変える,かえる,かえる
科学,かがく,かがく
鏡,かがみ,かがみ
掛ける,かける,かける
飾る,かざる,かざる
火事,かじ,かじ
瓦斯,ガス,がす
ガソリン,ガソリン,がそりん
ガソリンスタンド,ガソリンスタンド,がそりんすたんど
硬い,かたい,かたい
形,かたち,かたち
片付ける,かたづける,かたづける
課長,かちょう,かちょう
勝つ,かつ,かつ
家内,かない,かない
悲しい,かなしい,かなしい
必ず,かならず,かならず
彼女,かのじょ,かのじょ
壁,かべ,かべ
髪,かみ,かみ
噛む,かむ,かむ
通う,かよう,かよう
硝子,ガラス,がらす
彼,かれ,かれ
乾く,かわく,かわく
代わり,かわり,かわり
変わる,かわる,かわる
考える,かんがえる,かんがえる
関係,かんけい,かんけい
看護師,かんごし,かんごし
簡単,かんたん,かんたん
気,き,き
機会,きかい,きかい
危険,きけん,きけん
聞こえる,きこえる,きこえる
汽車,きしゃ,きしゃ
技術,ぎじゅつ,ぎじゅつ
季節,きせつ,きせつ
規則,きそく,きそく
屹度,きっと,きっと
絹,きぬ,きぬ
厳しい,きびしい,きびしい
気分,きぶん,きぶん
決まる,きまる,きまる
君,きみ,きみ
決める,きめる,きめる
気持ち,きもち,きもち
着物,きもの,きもの
客,きゃく,きゃく
急,きゅう,きゅう
急行,きゅうこう,きゅうこう
教育,きょういく,きょういく
教会,きょうかい,きょうかい
競争,きょうそう,きょうそう
興味,きょうみ,きょうみ
近所,きんじょ,きんじょ
具合,ぐあい,ぐあい
空気,くうき,くうき
空港,くうこう,くうこう
草,くさ,くさ
首,くび,くび
雲,くも,くも
比べる,くらべる,くらべる
呉れる,くれる,くれる
暮れる,くれる,くれる
君,くん,くん
毛,け,け
ケーキ,ケーキ,けーき
経済,けいざい,けいざい
警察,けいさつ,けいさつ
景色,けしき,けしき
消しゴム,けしゴム,けしごむ
下宿,げしゅく,げしゅく
決して,けっして,けっして
けど,けど,けど
原因,げんいん,げんいん
喧嘩,けんか,けんか
研究,けんきゅう,けんきゅう
研究室,けんきゅうしつ,けんきゅうしつ
見物,けんぶつ,けんぶつ
子,こ,こ
斯う,こう,こう
郊外,こうがい,こうがい
講義,こうぎ,こうぎ
工業,こうぎょう,こうぎょう
高校,こうこう,こうこう
高校生,こうこうせい,こうこうせい
工場,こうじょう,こうじょう
校長,こうちょう,こうちょう
交通,こうつう,こうつう
講堂,こうどう,こうどう
高等学校,こうとうがっこう,こうとうがっこう
公務員,こうむいん,こうむいん
国際,こくさい,こくさい
心,こころ,こころ
ご主人,ごしゅじん,ごしゅじん
故障,こしょう,こしょう
ご存じ,ごぞんじ,ごぞんじ
答え,こたえ,こたえ
ご馳走,ごちそう,ごちそう
小鳥,ことり,ことり
この間,このあいだ,このあいだ
この頃,このごろ,このごろ
細かい,こまかい,こまかい
込む,こむ,こむ
米,こめ,こめ
ご覧になる,ごらんになる,ごらんになる
此れから,これから,これから
怖い,こわい,こわい
壊す,こわす,こわす
壊れる,こわれる,こわれる
コンサート,コンサート,こんさーと
今度,こんど,こんど
コンピュータ,コンピュータ,こんぴゅーた
今夜,こんや,こんや
最近,さいきん,さいきん
最後,さいご,さいご
最初,さいしょ,さいしょ
坂,さか,さか
探す,さがす,さがす
下がる,さがる,さがる
盛ん,さかん,さかん
下げる,さげる,さげる
差し上げる,さしあげる,さしあげる
さっき,さっき,さっき
寂しい,さびしい,さびしい
再来月,さらいげつ,さらいげつ
再来週,さらいしゅう,さらいしゅう
サラダ,サラダ,さらだ
騒ぐ,さわぐ,さわぐ
触る,さわる,さわる
産業,さんぎょう,さんぎょう
サンダル,サンダル,さんだる
サンドイッチ,サンドイッチ,さんどいっち
残念,ざんねん,ざんねん
市,し,し
字,じ,じ
試合,しあい,しあい
仕方,しかた,しかた
試験,しけん,しけん
事故,じこ,じこ
地震,じしん,じしん
時代,じだい,じだい
下着,したぎ,したぎ
確り,しっかり,しっかり
失敗,しっぱい,しっぱい
辞典,じてん,じてん
品物,しなもの,しなもの
暫く,しばらく,しばらく
島,しま,しま
市民,しみん,しみん
事務所,じむしょ,じむしょ
社会,しゃかい,しゃかい
社長,しゃちょう,しゃちょう
ジャム,ジャム,じゃむ
自由,じゆう,じゆう
習慣,しゅうかん,しゅうかん
住所,じゅうしょ,じゅうしょ
柔道,じゅうどう,じゅうどう
十分,じゅうぶん,じゅうぶん
趣味,しゅみ,しゅみ
紹介,しょうかい,しょうかい
小学校,しょうがっこう,しょうがっこう
小説,しょうせつ,しょうせつ
将来,しょうらい,しょうらい
食料品,しょくりょうひん,しょくりょうひん
女性,じょせい,じょせい
知らせる,しらせる,しらせる
調べる,しらべる,しらべる
人口,じんこう,じんこう
神社,じんじゃ,じんじゃ
親切,しんせつ,しんせつ
新聞社,しんぶんしゃ,しんぶんしゃ
スーツ,スーツ,すーつ
スーツケース,スーツケース,すーつけーす
水泳,すいえい,すいえい
水道,すいどう,すいどう
数学,すうがく,すうがく
過ぎる,すぎる,すぎる
スクリーン,スクリーン,すくりーん
凄い,すごい,すごい
進む,すすむ,すすむ
すっかり,すっかり,すっかり
すっと,すっと,すっと
ステーキ,ステーキ,すてーき
捨てる,すてる,すてる
ステレオ,ステレオ,すてれお
砂,すな,すな
滑る,すべる,すべる
隅,すみ,すみ
済む,すむ,すむ
掏摸,すり,すり
すると,すると,すると
生活,せいかつ,せいかつ
生産,せいさん,せいさん
政治,せいじ,せいじ
西洋,せいよう,せいよう
世界,せかい,せかい
席,せき,せき
説明,せつめい,せつめい
背中,せなか,せなか
線,せん,せん
戦争,せんそう,せんそう
先輩,せんぱい,せんぱい
そう,そう,そう
育てる,そだてる,そだてる
卒業,そつぎょう,そつぎょう
祖父,そふ,そふ
ソフト,ソフト,そふと
祖母,そぼ,そぼ
其れで,それで,それで
其れに,それに,それに
それ程,それほど,それほど
そろそろ,そろそろ,そろそろ
そんな,そんな,そんな
そんなに,そんなに,そんなに
退院,たいいん,たいいん
大学生,だいがくせい,だいがくせい
大事,だいじ,だいじ
大体,だいたい,だいたい
大抵,たいてい,たいてい
タイプ,タイプ,たいぷ
大分,だいぶ,だいぶ
台風,たいふう,たいふう
倒れる,たおれる,たおれる
だから,だから,だから
確か,たしか,たしか
足す,たす,たす
尋ねる,たずねる,たずねる
訪ねる,たずねる,たずねる
正しい,ただしい,ただしい
畳,たたみ,たたみ
建てる,たてる,たてる
立てる,たてる,たてる
例えば,たとえば,たとえば
棚,たな,たな
楽しみ,たのしみ,たのしみ
楽しむ,たのしむ,たのしむ
偶に,たまに,たまに
為,ため,ため
足りる,たりる,たりる
男性,だんせい,だんせい
暖房,だんぼう,だんぼう
血,ち,ち
チェック,チェック,ちぇっく
力,ちから,ちから
些とも,ちっとも,ちっとも
ちゃん,ちゃん,ちゃん
注意,ちゅうい,ちゅうい
中学校,ちゅうがっこう,ちゅうがっこう
注射,ちゅうしゃ,ちゅうしゃ
駐車場,ちゅうしゃじょう,ちゅうしゃじょう
地理,ちり,ちり
捕まえる,つかまえる,つかまえる
付く,つく,つく
漬ける,つける,つける
都合,つごう,つごう
伝える,つたえる,つたえる
続く,つづく,つづく
続ける,つづける,つづける
包む,つつむ,つつむ
妻,つま,つま
端,つま,つま
積もり,つもり,つもり
釣る,つる,つる
丁寧,ていねい,ていねい
テキスト,テキスト,てきすと
適当,てきとう,てきとう
手伝う,てつだう,てつだう
テニス,テニス,てにす
手袋,てぶくろ,てぶくろ
寺,てら,てら
点,てん,てん
店員,てんいん,てんいん
天気予報,てんきよほう,てんきよほう
電灯,でんとう,でんとう
電報,でんぽう,でんぽう
展覧会,てんらんかい,てんらんかい
都,と,と
道具,どうぐ,どうぐ
到頭,とうとう,とうとう
動物園,どうぶつえん,どうぶつえん
遠く,とおく,とおく
通る,とおる,とおる
特に,とくに,とくに
特別,とくべつ,とくべつ
床屋,とこや,とこや
途中,とちゅう,とちゅう
特急,とっきゅう,とっきゅう
届ける,とどける,とどける
泊まる,とまる,とまる
止める,とめる,とめる
取り替える,とりかえる,とりかえる
泥棒,どろぼう,どろぼう
どんどん,どんどん,どんどん
治す,なおす,なおす
治る,なおる,なおる
泣く,なく,なく
亡くなる,なくなる,なくなる
無くなる,なくなる,なくなる
投げる,なげる,なげる
為さる,なさる,なさる
鳴る,なる,なる
成るべく,なるべく,なるべく
なる程,なるほど,なるほど
慣れる,なれる,なれる
苦い,にがい,にがい
二階建て,にかいだて,にかいだて
逃げる,にげる,にげる
日記,にっき,にっき
入院,にゅういん,にゅういん
入学,にゅうがく,にゅうがく
似る,にる,にる
人形,にんぎょう,にんぎょう
盗む,ぬすむ,ぬすむ
塗る,ぬる,ぬる
濡れる,ぬれる,ぬれる
値段,ねだん,ねだん
熱,ねつ,ねつ
寝坊,ねぼう,ねぼう
眠い,ねむい,ねむい
眠る,ねむる,ねむる
残る,のこる,のこる
乗り換える,のりかえる,のりかえる
乗り物,のりもの,のりもの
葉,は,は
パート,パート,ぱーと
場合,ばあい,ばあい
倍,ばい,ばい
拝見,はいけん,はいけん
