kanji,kana,hirakana
会う,あう,あう
青,あお,あお
青い,あおい,あおい
赤,あか,あか
赤い,あかい,あかい
明るい,あかるい,あかるい
秋,あき,あき
開く,あく,あく
開ける,あける,あける
上げる,あげる,あげる
朝,あさ,あさ
朝ご飯,あさごはん,あさごはん
明後日,あさって,あさって
足,あし,あし
明日,あした,あした
彼処,あそこ,あそこ
遊ぶ,あそぶ,あそぶ
暖かい,あたたかい,あたたかい
頭,あたま,あたま
新しい,あたらしい,あたらしい
彼方,あちら,あちら
厚い,あつい,あつい
暑い,あつい,あつい
熱い,あつい,あつい
後,あと,あと
貴方,あなた,あなた
兄,あに,あに
姉,あね,あね
あのう,あのう,あのう
アパート,アパート,あぱーと
浴びる,あびる,あびる
危ない,あぶない,あぶない
甘い,あまい,あまい
余り,あまり,あまり
雨,あめ,あめ
飴,あめ,あめ
洗う,あらう,あらう
有る,ある,ある
歩く,あるく,あるく
彼,あれ,あれ
否,いいえ,いいえ
言う,いう,いう
家,いえ,いえ
行く,いく,いく
幾つ,いくつ,いくつ
幾ら,いくら,いくら
池,いけ,いけ
医者,いしゃ,いしゃ
椅子,いす,いす
忙しい,いそがしい,いそがしい
痛い,いたい,いたい
一,いち,いち
一日,いちにち,いちにち
一番,いちばん,いちばん
何時,いつ,いつ
五日,いつか,いつか
一昨年,いっさくねん,いっさくねん
一緒,いっしょ,いっしょ
五つ,いつつ,いつつ
何時も,いつも,いつも
犬,いぬ,いぬ
今,いま,いま
意味,いみ,いみ
妹,いもうと,いもうと
嫌,いや,いや
入口,いりぐち,いりぐち
居る,いる,いる
要る,いる,いる
入れる,いれる,いれる
色,いろ,いろ
色々,いろいろ,いろいろ
上,うえ,うえ
後ろ,うしろ,うしろ
薄い,うすい,うすい
歌,うた,うた
歌う,うたう,うたう
生まれる,うまれる,うまれる
海,うみ,うみ
売る,うる,うる
煩い,うるさい,うるさい
上着,うわぎ,うわぎ
絵,え,え
映画,えいが,えいが
映画館,えいがかん,えいがかん
英語,えいご,えいご
ええ,ええ,ええ
駅,えき,えき
エレベーター,エレベーター,えれべーたー
鉛筆,えんぴつ,えんぴつ
美味しい,おいしい,おいしい
多い,おおい,おおい
大きい,おおきい,おおきい
大きな,おおきな,おおきな
大勢,おおぜい,おおぜい
お母さん,おかあさん,おかあさん
お菓子,おかし,おかし
お金,おかね,おかね
起きる,おきる,おきる
置く,おく,おく
奥さん,おくさん,おくさん
お酒,おさけ,おさけ
お皿,おさら,おさら
教える,おしえる,おしえる
押す,おす,おす
遅い,おそい,おそい
お茶,おちゃ,おちゃ
お手洗い,おてあらい,おてあらい
お父さん,おとうさん,おとうさん
弟,おとうと,おとうと
男,おとこ,おとこ
